,Brand,Color,Touchscreen,Display_size_inches,Operating System,Processor Core,Internal Storage,Primary Camera,Secondary Camera Available,Wi-Fi,Battery Capacity,SmartPhone,X_res,Y_res,Processor,5G,price
0,APPLE,Any Color,1,6.1,Ios,6,128.0,12.0,1,1,3240,1,2532,1170,Bionic Chip,1,52499
1,POCO,Any Color,1,6.52,Android 13,8,64.0,50.0,1,1,5000,1,1600,720,Helio,0,6499
2,OnePlus,Any Color,1,6.59,Android 13,8,128.0,64.0,1,1,5000,1,2412,1080,Bionic Chip,1,17196
3,realme,Any Color,1,6.72,Android 13,8,128.0,64.0,1,1,5000,1,2400,1080,Dimensity,1,15999
4,realme,Any Color,1,6.72,Android 13,8,128.0,64.0,1,1,5000,1,2400,1080,Dimensity,1,14999
5,POCO,Any Color,1,6.71,Android 12,8,128.0,50.0,1,1,5000,1,1650,720,Helio,0,8499
6,APPLE,Any Color,1,6.1,Ios,6,128.0,12.0,1,1,3240,1,2532,1170,Bionic Chip,1,52499
7,POCO,Any Color,1,6.52,Android 13,8,64.0,50.0,1,1,5000,1,1600,720,Helio,0,6499
8,vivo,Any Color,1,6.58,Android 13,8,128.0,50.0,1,1,5000,1,2408,1080,Dimensity,1,12999
9,MOTOROLA,Any Color,1,6.55,Android 13,8,256.0,50.0,1,1,5000,1,2400,1080,Snapdragon,1,19999
10,vivo,Any Color,1,6.58,Android 13,8,128.0,50.0,1,1,5000,1,2408,1080,Dimensity,1,12999
11,realme,Any Color,1,6.72,Android 13,8,128.0,64.0,1,1,5000,1,2400,1080,Dimensity,1,15999
12,vivo,Any Color,1,6.58,Android 13,8,128.0,50.0,1,1,5000,1,2408,1080,Dimensity,1,12999
13,vivo,Any Color,1,6.58,Android 13,8,128.0,50.0,1,1,5000,1,2408,1080,Dimensity,1,13999
14,OnePlus,Any Color,1,6.72,Android 13,8,128.0,108.0,1,1,5000,1,2400,1080,Bionic Chip,1,19999
15,vivo,Any Color,1,6.58,Android 13,8,128.0,50.0,1,1,5000,1,2408,1080,Dimensity,1,13999
16,POCO,Any Color,1,6.71,Android 12,8,128.0,50.0,1,1,5000,1,1650,720,Helio,0,8499
17,vivo,Any Color,1,6.58,Android 13,8,128.0,50.0,1,1,5000,1,2408,1080,Dimensity,1,15999
18,POCO,Any Color,1,6.52,Android 13,8,64.0,50.0,1,1,5000,1,1600,720,Helio,0,5999
19,REDMI,Any Color,1,6.79,Android 13,8,128.0,50.0,1,1,5000,1,2460,1080,Helio,0,9999
20,vivo,Any Color,1,6.58,Android 13,8,128.0,50.0,1,1,5000,1,2408,1080,Dimensity,1,15999
21,POCO,Any Color,1,6.71,Android 12,8,128.0,50.0,1,1,5000,1,1650,720,Helio,0,8499
22,vivo,Any Color,1,6.58,Android 13,8,128.0,50.0,1,1,5000,1,2408,1080,Dimensity,1,15999
23,Infinix,Any Color,1,6.6,Android 12,8,64.0,13.0,1,1,6000,1,1612,720,Qualcomm,0,7499
24,MOTOROLA,Any Color,1,6.5,Android 13,8,128.0,50.0,1,1,5000,1,1600,720,Helio,0,9999
25,APPLE,Any Color,1,6.1,Ios,6,128.0,12.0,1,1,3240,1,2532,1170,Bionic Chip,1,52499
26,vivo,Any Color,1,6.58,Android 13,8,128.0,50.0,1,1,5000,1,2408,1080,Dimensity,1,13999
27,Infinix,Any Color,1,6.6,Android 12,8,64.0,50.0,1,1,5000,1,1612,720,Qualcomm,0,8399
28,Infinix,Any Color,1,6.6,Android 12,8,64.0,50.0,1,1,5000,1,1612,720,Qualcomm,0,8399
29,MOTOROLA,Any Color,1,6.5,Android 13,8,128.0,50.0,1,1,5000,1,2400,1080,Dimensity,1,18999
30,Infinix,Any Color,1,6.6,Android 12,8,128.0,50.0,1,1,5000,1,1612,720,Qualcomm,0,9499
31,Infinix,Any Color,1,6.6,Android 12,8,64.0,50.0,1,1,5000,1,1612,720,Qualcomm,0,8399
32,Infinix,Any Color,1,6.6,Android 12,8,128.0,50.0,1,1,5000,1,1612,720,Qualcomm,0,9499
33,APPLE,Blue,1,6.1,Ios,6,128.0,12.0,1,1,3240,1,2532,1170,Bionic Chip,1,52499
34,Infinix,Any Color,1,6.6,Android 12,8,128.0,50.0,1,1,5000,1,1612,720,Qualcomm,0,9499
35,realme,Any Color,1,6.74,Android 13,8,64.0,108.0,1,1,5000,1,1600,720,Qualcomm,0,10999
36,vivo,Any Color,1,6.78,Android 13,8,128.0,64.0,1,1,5000,1,2400,1080,Snapdragon,1,26999
37,Infinix,Any Color,1,6.6,Android 12,8,128.0,50.0,1,1,5000,1,1612,720,Qualcomm,0,9499
38,realme,Any Color,1,6.7,Android 13,8,256.0,200.0,1,1,5000,1,2412,1080,Dimensity,1,29999
39,MOTOROLA,Any Color,1,6.55,Android 13,8,256.0,50.0,1,1,5000,1,2400,1080,Snapdragon,1,19999
40,POCO,Any Color,1,6.71,Android 12,8,64.0,50.0,1,1,5000,1,1650,720,Helio,0,7499
41,POCO,Any Color,1,6.71,Android 12,8,64.0,50.0,1,1,5000,1,1650,720,Helio,0,7499
42,POCO,Any Color,1,6.79,Android 13,8,128.0,50.0,1,1,5000,1,2460,1080,Snapdragon,1,12999
43,vivo,Any Color,1,6.78,Android 13,8,128.0,64.0,1,1,5000,1,2400,1080,Snapdragon,1,26999
44,vivo,Any Color,1,6.78,Android 13,8,256.0,64.0,1,1,5000,1,2400,1080,Snapdragon,1,28999
45,realme,Any Color,1,6.74,Android 13,8,128.0,108.0,1,1,5000,1,1600,720,Qualcomm,0,9999
46,realme,Any Color,1,6.74,Android 13,8,128.0,108.0,1,1,5000,1,1600,720,Qualcomm,0,9999
47,REDMI,Any Color,1,6.52,Android 13,8,64.0,50.0,1,1,5000,1,2160,1080,Bionic Chip,0,6900
48,REDMI,Any Color,1,6.52,Android 13,8,64.0,50.0,1,1,5000,1,2160,1080,Bionic Chip,0,6799
49,MOTOROLA,Any Color,1,6.5,Android 13,8,128.0,50.0,1,1,5000,1,2400,1080,Qualcomm,0,9999
50,realme,Any Color,1,6.74,Android 13,8,64.0,108.0,1,1,5000,1,1600,720,Qualcomm,0,10999
51,REDMI,Any Color,1,6.52,Android 13,8,64.0,50.0,1,1,5000,1,2160,1080,Bionic Chip,0,6806
52,MOTOROLA,Any Color,1,6.5,Android 13,8,64.0,13.0,1,1,5000,1,1600,720,Qualcomm,0,7999
53,MOTOROLA,Any Color,1,6.5,Android 13,8,256.0,50.0,1,1,4400,1,2400,1080,Dimensity,1,29999
54,realme,Any Color,1,6.7,Android 13,8,256.0,200.0,1,1,5000,1,2412,1080,Dimensity,1,27999
56,REDMI,Any Color,1,6.52,Android 13,8,32.0,50.0,1,1,5000,1,2160,1080,Bionic Chip,0,7129
57,SAMSUNG,Any Color,1,6.6,Android 12,8,64.0,50.0,1,1,6000,1,2408,1080,Exynos,0,10999
58,MOTOROLA,Any Color,1,6.5,Android 12,8,64.0,50.0,1,1,5000,1,1600,720,Helio,0,8999
59,Infinix,Any Color,1,6.78,Android 13,8,128.0,108.0,1,1,5000,1,2460,1080,Dimensity,1,14999
60,REDMI,Any Color,1,6.52,Android 13,8,64.0,50.0,1,1,5000,1,2160,1080,Bionic Chip,0,6746
61,MOTOROLA,Any Color,1,6.5,Android 13,8,256.0,50.0,1,1,6000,1,2400,1080,Dimensity,1,18999
62,OPPO,Any Color,1,6.7,Android 13,8,256.0,64.0,1,1,5000,1,2412,1080,Dimensity,1,32999
63,OPPO,Any Color,1,6.7,Android 13,8,256.0,64.0,1,1,5000,1,2412,1080,Dimensity,1,32999
64,APPLE,Blue,1,6.1,Ios,6,128.0,12.0,1,1,3279,1,2532,1170,Bionic Chip,1,64999
65,POCO,Any Color,1,6.79,Android 13,8,64.0,50.0,1,1,5000,1,2460,1080,Snapdragon,1,10999
66,REDMI,Any Color,1,6.79,Android 13,8,128.0,50.0,1,1,5000,1,2460,1080,Bionic Chip,1,14497
67,REDMI,Any Color,1,6.79,Android 13,8,128.0,50.0,1,1,5000,1,2460,1080,Bionic Chip,1,14475
68,APPLE,Any Color,1,6.1,Ios,6,128.0,48.0,1,1,5000,1,2556,1179,Bionic Chip,1,79900
69,realme,Any Color,1,6.7,Android 13,8,256.0,100.0,1,1,5000,1,2412,1080,Dimensity,1,27999
70,APPLE,Black,1,6.1,Ios,8,128.0,12.0,1,1,3110,1,1792,828,Bionic Chip,0,40999
71,MOTOROLA,Any Color,1,6.5,Android 13,8,128.0,50.0,1,1,6000,1,2400,1080,Dimensity,1,15999
72,OnePlus,Any Color,1,6.72,Android 13,8,256.0,108.0,1,1,5000,1,2400,1080,Bionic Chip,1,21990
